frequency,callsign,city,state,power,lat,lon,height,slogan,owner,format,mlb,nfl,nba,nhl,market,rank,npr
107.3,WTNR,GREENVILLE,MI,50.0,43.01947222222222,85.34944444444444,140.0,THUNDER 107.3,Cumulus Media,Country,,,,,Grand Rapids,68.0,False
93.3,WTPP-LP,GOBLES,MI,0.068,42.39780555555556,85.86388888888888,17.0,,"NEW CREATION STATION, INC.",Religious Teaching,,,,,,,False
95.3,WTRC-FM,NILES,MI,5.5,41.737833333333334,86.25277777777778,93.3,95.3 MNC (MICHIANA'S NEWS CHANNEL),PATHFINDER COMMUNICATIONS CORPORATION,Talk,,,,,South Bend,184.0,False
90.9,WTRK,FREELAND,MI,0.43,43.56169444444444,83.98108333333333,106.0,AIR1,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,,,,,Saginaw-Bay City-Midland,152.0,False
100.5,WTRV,WALKER,MI,3.0,43.016416666666665,85.74002777777778,82.0,100.5 THE RIVER,"TOWNSQUARE MEDIA OF GRAND RAPIDS, INC.",Adult Contemporary,,,,,Grand Rapids,68.0,False
92.1,WTWS,HOUGHTON LAKE,MI,0.92,44.28919444444444,84.74225,176.8,92.1 THE TWISTER,"BLACK DIAMOND BROADCAST GROUP, LLC",Country,,,,,,,False
106.1,WTZM,TAWAS CITY,MI,25.0,44.27363888888889,83.66330555555557,89.0,THE POINT 106.1,"CARROLL ENTERPRISES, INC.",Hot AC,,,,,,,False
90.1,WUCX-FM,BAY CITY,MI,30.0,43.55280555555555,83.68997222222222,150.0,WCMU PUBLIC RADIO,CENTRAL MICHIGAN UNIVERSITY,News,,,,,Saginaw-Bay City-Midland,152.0,True
93.1,WUFL,DETROIT,MI,26.5,42.47113888888889,83.20027777777779,206.0,FAMILY LIFE RADIO,Intentional Life Media,Contemporary Christian,,,,,Detroit,13.0,False
96.7,WUFN,ALBION,MI,3.2,42.26558333333333,84.64525,138.0,FAMILY LIFE RADIO,Intentional Life Media,Contemporary Christian,,,,,,,False
106.1,WUGM-LP,MUSKEGON,MI,0.1,43.218361111111115,86.24477777777778,22.0,M 106-FM,WEST MICHIGAN COMMUNITY HELP NETWORK,R&B Oldies,,,,,Muskegon,225.0,False
99.7,WUGN,MIDLAND,MI,100.0,43.515861111111114,84.54583333333333,309.0,FAMILY LIFE RADIO,Intentional Life Media,Contemporary Christian,,,,,Saginaw-Bay City-Midland,152.0,False
91.7,WUOM,ANN ARBOR,MI,93.0,42.40752777777777,83.91383333333334,196.0,MICHIGAN PUBLIC,Regents of the University of Michigan,News,,,,,Ann Arbor,151.0,True
107.3,WUPF,POWERS,MI,50.0,45.64461111111111,87.37641666666666,64.0,EAGLE 107.3 FM,"AMC PARTNERS ESCANABA, LLC",Classic Rock,,,,,,,False
96.7,WUPG,REPUBLIC,MI,50.0,46.50805555555556,87.96861111111112,58.0,MAVERICK 96.7 FM,"AMC PARTNERS ESCANABA, LLC",Country,,,,,,,False
96.7,WUPG-FM1,MARQUETTE,MI,0.1,46.54511111111111,87.44447222222223,30.5,MAVERICK 96.7 FM,"AMC PARTNERS ESCANABA, LLC",Country,,,,,,,False
90.9,WUPJ,ESCANABA,MI,30.0,46.13472222222222,86.94888888888889,274.0,,WEST CENTRAL MICHIGAN MEDIA MINISTRIES,Religious Teaching,,,,,,,False
94.1,WUPK,MARQUETTE,MI,4.4,46.51411111111111,87.48291666666667,70.0,94-1 THE BREEZE,"MARQUETTE RADIO, LLC",Soft AC,,,,,,,False
106.9,WUPM,IRONWOOD,MI,100.0,46.471611111111116,90.01211111111111,62.0,MIX 106.9,"Baroka Broadcasting, Inc.",Hot AC,,,,,,,False
95.1,WUPN,PARADISE,MI,25.0,46.46602777777778,84.71947222222222,52.7,BRIDGE FM - EVERYTHING CLASSIC,TSE Broadcasting LLC,Classic Hits,,,,,,,False
95.1,WUPN-FM1,SAULT STE MARIE,MI,0.25,46.47613888888889,84.35308333333333,12.0,EAGLE 95.1,TSE BROADCASTING LLC,Classic Hits,,,,,,,False
98.5,WUPS,HARRISON,MI,100.0,44.28919444444444,84.74225,248.0,98.5 UPS,"BLACK DIAMOND BROADCAST GROUP, LLC",Classic Hits,,,,,,,False
100.3,WUPT,GWINN,MI,100.0,46.51430555555555,87.47797222222222,99.0,THE POINT,"AMC PARTNERS ESCANABA, LLC",Classic Hits,,,,,,,False
91.5,WUPX,MARQUETTE,MI,1.7,46.51438888888889,87.48541666666667,85.0,RADIO X,BOARD OF TRUSTEES OF NORTHERN MICHIGAN UNIVERSITY,Variety,,,,,,,False
101.1,WUPY,ONTONAGON,MI,100.0,46.75033333333333,89.17963888888889,128.0,SUPERIOR COUNTRY - Y101,"SNRN BROADCASTING, INC.",Country,,Lions,,,,,False
94.9,WUPZ,CHOCOLAY TOWNSHIP,MI,100.0,46.51430555555555,87.47797222222222,99.0,94.9 THE BAY,"AMC PARTNERS ESCANABA, LLC",Contemporary Hit Radio,,Packers,,Red Wings,,,False
103.7,WUVS-LP,MUSKEGON,MI,0.1,43.218361111111115,86.24477777777778,28.0,,WEST MICHIGAN COMMUNITY HELP NETWORK,Hip Hop,,,,,Muskegon,225.0,False
107.9,WVAC-FM,ADRIAN,MI,0.087,41.896972222222225,84.06102777777778,29.0,,ADRIAN COLLEGE,Adult Alternative,,,,,,,False
91.5,WVAV,VICKSBURG,MI,20.0,42.02041666666666,85.41022222222223,60.0,HOLY FAMILY RADIO,HOLY FAMILY RADIO,Religious Teaching,,,,,,,False
105.3,WVBH-LP,BENTON HARBOR,MI,0.1,42.10913888888889,86.44169444444445,17.0,,Charles D. Kelly Urban Foundation,Hip Hop,,,,,,,False
91.5,WVCM,IRON MOUNTAIN,MI,0.5,45.82077777777778,88.04041666666666,50.0,CHRISTIAN INFORMATION RADIO,"VCY AMERICA, INC.",Religious Teaching,,,,,,,False
104.3,WVCN,BARAGA,MI,100.0,46.66383333333333,88.38513888888889,131.0,CHRISTIAN INFORMATION RADIO,"Keweenaw Bay Broadcasting, Inc.",Religious Teaching,,,,,,,False
102.1,WVFC-LP,STEPHENSON,MI,0.1,45.414944444444444,87.60583333333332,25.0,ETERNAL WORD NETWORK,"AMDG RADIO, INC.",Religious Teaching,,,,,,,False
106.5,WVFM,KALAMAZOO,MI,33.0,42.476416666666665,85.48472222222222,141.0,106.5 JACK FM,"MIDWEST COMMUNICATIONS, INC.",Variety Hits,,,,,Kalamazoo,183.0,False
104.1,WVGR,GRAND RAPIDS,MI,96.0,42.65475,85.52725,227.5,MICHIGAN PUBLIC,Regents of the University of Michigan,News,,,,,Grand Rapids,68.0,True
100.1,WVIB,HOLTON,MI,2.9,43.313916666666664,86.15477777777778,146.0,V 100,Cumulus Media,R&B,,,,,Muskegon,225.0,False
91.5,WVMV,CHINA TOWNSHIP,MI,1.05,42.66169444444444,82.58991666666667,72.0,SMILE FM MICHIGAN'S POSITIVE HITS,SMILE FM,Contemporary Christian,,,,,Detroit,13.0,False
96.9,WWCM,STANDISH,MI,3.0,44.03558333333333,84.00861111111111,96.0,CMU PUBLIC RADIO,CENTRAL MICHIGAN UNIVERSITY,News,,,,,,,True
101.5,WWBN,TUSCOLA,MI,1.8,43.200027777777784,83.55827777777777,140.0,BANANA 101.5,"TOWNSQUARE MEDIA OF FLINT, INC.",Rock,,,,,Flint,140.0,False
100.9,WWBR,BIG RAPIDS,MI,6.0,43.66363888888889,85.48172222222222,122.0,BIG COUNTRY 100.9,"MENTOR PARTNERS, INC.",Country,,,,,,,False
105.5,WWCK-FM,FLINT,MI,25.0,43.01086111111111,83.65105555555556,107.0,CK 105.5,Cumulus Media,Contemporary Hit Radio,,,,,Flint,140.0,False
94.1,WWDK,JACKSON,MI,40.0,42.39197222222222,84.6666388888889,146.0,94.1 DUKE FM,"MIDWEST COMMUNICATIONS, INC.",Country,,,,,,,False
94.1,WWKR,HART,MI,5.0,43.67611111111111,86.23897222222222,143.6,K-ROCK 94.1,"SYNERGY LAKESHORE LICENSES, LLC",Classic Rock,,,,Red Wings,,,False
106.3,WWMK,ONAWAY,MI,38.0,45.650277777777774,84.34363888888889,138.0,106.3 MAC-FM,"BLACK DIAMOND BROADCAST HOLDINGS, LLC",Classic Hits,,,,,Traverse City-Petoskey-Cadillac,178.0,False
92.5,WWSN,NEWAYGO,MI,2.25,43.309749999999994,85.91255555555556,152.4,SUNNY FM,Cumulus Media,Adult Contemporary,,,,,,,False
95.3,WWSS,TUSCARORA TOWNSHIP,MI,17.0,45.35194444444445,84.59388888888888,107.0,THE BEAR 98.1 & 95.3,"BLACK DIAMOND BROADCAST HOLDINGS, LLC",Classic Rock,,Lions,,,Traverse City-Petoskey-Cadillac,178.0,False
100.7,WWTH,OSCODA,MI,20.5,44.57833333333333,83.37774999999999,100.0,THUNDER 100.7,Edwards Communications LC,Classic Rock,Tigers,Lions,,,,,False
102.9,WWWW-FM,ANN ARBOR,MI,50.0,42.24613888888889,83.84938888888888,116.3,102.9 W-4 COUNTRY,Cumulus Media,Country,,,,,Ann Arbor,151.0,False
97.3,WXHR-LP,HILLMAN,MI,0.1,45.059999999999995,83.89888888888889,27.0,HILLMAN COMMUNITY RADIO,HILLMAN COMMUNITY RADIO,Variety,,,,,,,False
88.3,WXOU,AUBURN HILLS,MI,0.11,42.70975,83.23047222222222,20.0,WXOU 88.3 FM,OAKLAND UNIVERSITY,Adult Alternative,,,,,Detroit,13.0,False
97.9,WXTF-LP,HARRISVILLE,MI,0.1,44.656777777777776,83.29141666666666,15.9,,"Alcona Music Project, Inc.",Variety,,,,,,,False
97.1,WXYT-FM,DETROIT,MI,15.0,42.48280555555556,83.20519444444444,277.0,97.1 THE TICKET,"Audacy License, LLC",Sports,Tigers,,Pistons,Red Wings,Detroit,13.0,False
90.1,WYBA,COLDWATER,MI,32.0,42.14422222222222,85.20969444444445,83.0,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,,,,,,,False
102.3,WYBR,BIG RAPIDS,MI,10.5,43.683638888888886,85.58227777777778,39.0,Y102,"MENTOR PARTNERS, INC.",Hot AC,,,,,,,False
